150 16762
1 104 3
1 105 7
1 106 2
1 107 6
1 108 1
1 109 4
1 111 1
1 112 9
1 113 2
1 115 7
1 116 5
1 117 7
1 118 8
1 120 8
1 121 6
1 123 4
1 124 1
1 125 2
1 126 6
1 127 6
1 128 6
1 130 7
1 131 9
1 134 7
1 135 6
1 136 5
1 137 2
1 139 7
1 141 4
1 142 1
1 143 4
1 146 8
1 147 1
1 148 5
1 149 5
2 1 8
2 3 9
2 4 4
2 5 5
2 6 3
2 7 2
2 8 3
2 9 6
2 10 6
2 11 5
2 12 4
2 13 2
2 14 4
2 15 1
2 16 1
2 20 2
2 21 6
2 22 7
2 23 7
2 24 1
2 25 3
2 26 9
2 27 3
2 28 2
2 29 4
2 30 4
2 31 1
2 32 3
2 33 9
2 34 6
2 35 4
2 36 2
2 37 7
2 39 8
2 41 8
2 43 8
2 44 1
2 45 8
2 46 3
2 47 4
2 48 1
2 49 2
2 50 2
2 51 8
2 52 7
2 53 4
2 54 7
2 56 8
2 57 2
2 58 4
2 59 9
2 60 8
2 62 5
2 63 7
2 64 8
2 65 8
2 66 5
2 68 4
2 69 9
2 70 7
2 71 1
2 72 5
2 73 6
2 76 2
2 77 3
2 79 7
2 81 9
2 83 4
2 84 8
2 85 1
2 86 5
2 87 8
2 88 2
2 89 8
2 90 1
2 91 9
2 92 9
2 93 6
2 94 9
2 95 6
2 97 9
2 98 3
2 99 4
2 100 6
2 101 5
2 103 2
2 104 8
2 105 9
2 107 3
2 109 4
2 110 2
2 112 4
2 113 6
2 114 2
2 115 8
2 117 9
2 120 6
2 122 2
2 123 3
2 124 1
2 125 5
2 126 2
2 127 4
2 128 2
2 130 3
2 131 4
2 132 3
2 133 7
2 134 3
2 136 4
2 138 2
2 139 6
2 140 7
2 141 3
2 143 1
2 144 1
2 146 5
2 147 3
2 148 9
2 149 8
3 0 9
3 1 4
3 4 5
3 6 2
3 7 2
3 8 3
3 9 6
3 10 7
3 11 5
3 12 1
3 14 7
3 15 7
3 17 8
3 18 3
3 19 8
3 20 4
3 21 9
3 22 8
3 23 2
3 24 1
3 25 3
3 27 5
3 29 1
3 31 9
3 34 5
3 35 4
3 36 5
3 37 5
3 39 9
3 40 4
3 43 2
3 44 9
3 45 6
3 48 3
3 49 8
3 50 1
3 52 1
3 53 6
3 54 1
3 55 6
3 58 4
3 59 1
3 60 2
3 61 5
3 62 7
3 63 5
3 64 8
3 65 5
3 68 3
3 69 9
3 70 3
3 71 5
3 72 3
3 75 5
3 76 1
3 77 6
3 78 8
3 80 1
3 81 5
3 82 3
3 83 7
3 84 7
3 85 7
3 86 2
3 87 3
3 88 4
3 89 4
3 91 2
3 92 4
3 93 9
3 94 3
3 95 5
3 96 1
3 97 2
3 98 3
3 99 9
3 100 9
3 101 7
3 102 2
3 105 4
3 106 5
3 109 4
3 110 3
3 111 8
3 112 7
3 113 8
3 115 8
3 116 9
3 117 4
3 118 8
3 121 9
3 122 2
3 123 6
3 126 5
3 127 4
3 131 6
3 132 3
3 134 1
3 135 1
3 136 4
3 137 8
3 140 2
3 141 1
3 142 6
3 143 3
3 144 6
3 145 8
3 146 1
3 148 2
3 149 9
4 1 3
4 2 7
4 3 1
4 6 5
4 7 5
4 8 2
4 11 9
4 12 9
4 13 7
4 14 6
4 16 2
4 17 5
4 18 8
4 20 2
4 21 8
4 23 6
4 24 1
4 26 7
4 27 4
4 28 3
4 31 7
4 32 3
4 33 7
4 34 8
4 35 4
4 36 5
4 37 8
4 38 8
4 39 5
4 40 5
4 41 6
4 42 7
4 43 4
4 44 9
4 46 1
4 47 9
4 48 8
4 51 3
4 52 6
4 53 2
4 54 9
4 56 8
4 57 8
4 58 5
4 59 5
4 60 9
4 61 7
4 62 5
4 63 1
4 64 2
4 65 3
4 67 2
4 68 5
4 70 2
4 71 8
4 72 4
4 73 5
4 75 6
4 76 1
4 78 7
4 82 9
4 83 7
4 84 8
4 85 9
4 86 2
4 87 1
4 88 9
4 89 7
4 90 4
4 91 5
4 92 7
4 93 1
4 94 3
4 95 5
4 98 1
4 99 9
4 101 7
4 104 6
4 105 1
4 107 7
4 108 4
4 110 6
4 115 8
4 116 2
4 117 7
4 118 7
4 120 1
4 122 7
4 123 7
4 124 4
4 125 7
4 126 7
4 127 5
4 128 9
4 130 3
4 132 7
4 133 3
4 134 4
4 135 4
4 136 9
4 138 8
4 139 5
4 140 3
4 141 3
4 142 8
4 143 8
4 144 5
4 146 6
4 147 2
4 148 1
4 149 9
5 0 7
5 1 6
5 2 8
5 3 5
5 4 8
5 6 6
5 7 8
5 8 8
5 9 3
5 10 4
5 14 6
5 15 1
5 18 1
5 21 8
5 22 6
5 24 8
5 26 3
5 27 4
5 28 2
5 29 9
5 30 1
5 31 2
5 32 9
5 33 2
5 34 2
5 36 7
5 37 4
5 38 3
5 39 5
5 40 9
5 41 3
5 42 7
5 43 3
5 44 5
5 45 3
5 47 4
5 48 2
5 51 4
5 52 6
5 54 6
5 55 4
5 56 8
5 57 8
5 58 3
5 59 8
5 60 4
5 61 2
5 63 4
5 64 3
5 65 6
5 66 6
5 71 2
5 72 1
5 74 3
5 75 7
5 76 8
5 78 2
5 79 4
5 80 5
5 81 5
5 83 2
5 84 3
5 85 6
5 86 4
5 87 5
5 88 2
5 89 5
5 91 6
5 92 5
5 93 6
5 94 2
5 95 4
5 96 1
5 97 1
5 98 4
5 99 1
5 100 7
5 102 9
5 103 4
5 104 9
5 105 2
5 108 4
5 109 6
5 110 6
5 112 3
5 113 9
5 114 8
5 115 5
5 116 2
5 117 9
5 118 5
5 120 6
5 121 6
5 122 5
5 123 3
5 124 8
5 125 9
5 126 9
5 127 8
5 128 7
5 130 8
5 131 4
5 132 4
5 133 1
5 134 7
5 135 8
5 136 5
5 137 3
5 138 4
5 140 5
5 141 8
5 142 4
5 143 5
5 144 8
5 145 1
5 146 3
5 147 4
5 148 1
5 149 8
6 0 6
6 1 2
6 2 3
6 3 3
6 5 3
6 7 9
6 9 7
6 12 2
6 13 7
6 15 8
6 16 2
6 17 6
6 18 7
6 20 9
6 21 8
6 22 3
6 23 6
6 24 2
6 25 7
6 26 3
6 27 9
6 28 7
6 29 9
6 31 9
6 33 1
6 35 6
6 36 3
6 37 1
6 42 6
6 43 4
6 44 8
6 45 6
6 47 8
6 50 8
6 52 4
6 53 3
6 54 9
6 55 2
6 57 7
6 58 7
6 59 1
6 60 1
6 61 4
6 62 8
6 63 1
6 64 9
6 65 9
6 66 2
6 67 4
6 69 4
6 70 6
6 71 7
6 72 1
6 73 4
6 74 9
6 75 1
6 77 2
6 83 2
6 84 9
6 85 5
6 86 2
6 87 3
6 88 9
6 90 4
6 91 8
6 92 5
6 93 3
6 94 8
6 96 9
6 97 1
6 98 3
6 100 1
6 102 7
6 103 3
6 104 6
6 105 1
6 107 2
6 108 4
6 109 4
6 110 1
6 111 3
6 112 6
6 114 8
6 115 7
6 116 3
6 117 9
6 118 3
6 119 5
6 121 5
6 122 2
6 123 2
6 124 5
6 126 8
6 127 8
6 128 8
6 129 4
6 130 9
6 131 3
6 133 9
6 134 2
6 135 2
6 136 8
6 137 5
6 138 1
6 139 7
6 143 5
6 144 8
6 145 8
6 147 8
6 148 7
6 149 2
7 0 2
7 2 5
7 3 7
7 4 4
7 5 2
7 6 8
7 8 6
7 9 4
7 10 2
7 12 9
7 13 5
7 14 6
7 15 9
7 16 5
7 17 6
7 19 8
7 20 4
7 21 9
7 22 4
7 24 7
7 25 5
7 26 5
7 28 8
7 29 5
7 30 7
7 31 8
7 32 3
7 33 7
7 34 5
7 35 9
7 36 2
7 37 6
7 38 3
7 40 2
7 42 8
7 43 9
7 44 3
7 45 1
7 46 6
7 47 4
7 48 2
7 49 9
7 51 6
7 53 5
7 54 1
7 55 1
7 56 5
7 57 4
7 59 8
7 60 4
7 61 9
7 62 5
7 63 2
7 66 3
7 68 2
7 69 9
7 70 7
7 71 1
7 72 4
7 75 5
7 76 5
7 79 7
7 80 1
7 81 7
7 82 9
7 83 5
7 84 7
7 85 5
7 87 5
7 89 5
7 91 3
7 92 4
7 94 9
7 95 9
7 96 4
7 98 6
7 99 8
7 100 3
7 101 3
7 102 5
7 103 5
7 104 1
7 105 1
7 106 1
7 107 6
7 108 6
7 109 1
7 112 4
7 113 1
7 114 1
7 115 8
7 117 3
7 119 5
7 120 3
7 121 3
7 123 8
7 124 1
7 125 8
7 126 8
7 128 7
7 129 7
7 130 1
7 131 6
7 132 4
7 133 5
7 135 6
7 136 3
7 137 5
7 138 7
7 139 5
7 146 8
7 147 9
7 148 1
8 1 2
8 2 6
8 3 6
8 4 3
8 6 9
8 7 6
8 10 5
8 12 2
8 13 1
8 14 4
8 15 1
8 16 6
8 18 2
8 19 5
8 20 6
8 22 2
8 23 6
8 24 6
8 25 5
8 26 6
8 27 2
8 28 1
8 29 8
8 32 2
8 33 2
8 34 2
8 35 1
8 36 8
8 37 5
8 38 8
8 39 4
8 40 9
8 41 7
8 42 6
8 45 3
8 47 2
8 51 4
8 52 2
8 53 2
8 59 4
8 61 7
8 62 2
8 63 4
8 65 5
8 66 5
8 68 8
8 69 8
8 70 5
8 71 9
8 72 2
8 73 1
8 75 6
8 76 3
8 77 7
8 79 6
8 80 6
8 81 3
8 82 6
8 83 4
8 84 6
8 85 5
8 88 4
8 89 8
8 90 4
8 92 9
8 94 4
8 95 4
8 98 2
8 99 3
8 101 1
8 102 1
8 103 9
8 105 6
8 107 8
8 108 9
8 109 4
8 110 3
8 111 7
8 113 4
8 114 2
8 115 1
8 116 6
8 117 7
8 118 6
8 120 5
8 121 3
8 122 4
8 123 2
8 124 4
8 125 6
8 126 2
8 127 2
8 128 3
8 129 3
8 130 8
8 132 4
8 133 9
8 134 9
8 137 3
8 141 2
8 142 7
8 143 3
8 144 5
8 146 7
8 147 9
8 148 1
8 149 7
9 1 5
9 2 9
9 3 5
9 4 3
9 5 2
9 6 1
9 8 8
9 10 8
9 11 3
9 12 3
9 13 9
9 14 5
9 15 1
9 16 1
9 17 3
9 18 9
9 19 3
9 20 9
9 21 6
9 23 2
9 24 1
9 25 9
9 26 7
9 30 3
9 31 1
9 32 3
9 33 2
9 35 7
9 36 7
9 37 5
9 39 5
9 41 7
9 42 9
9 43 5
9 45 5
9 47 8
9 49 3
9 50 5
9 51 5
9 52 4
9 53 1
9 54 3
9 55 7
9 56 7
9 61 9
9 62 6
9 63 6
9 64 8
9 65 4
9 66 6
9 67 1
9 68 3
9 69 2
9 71 4
9 73 7
9 74 3
9 75 7
9 76 4
9 77 1
9 78 2
9 79 4
9 80 5
9 81 2
9 82 1
9 83 7
9 84 6
9 85 8
9 86 5
9 88 2
9 89 3
9 90 6
9 91 5
9 92 9
9 93 8
9 95 2
9 96 2
9 97 1
9 98 9
9 99 8
9 100 5
9 101 4
9 102 7
9 103 5
9 104 4
9 105 3
9 106 2
9 107 1
9 108 8
9 109 3
9 112 1
9 114 1
9 115 1
9 116 8
9 117 2
9 119 1
9 121 1
9 122 4
9 123 3
9 125 1
9 126 1
9 128 6
9 129 3
9 131 8
9 133 8
9 134 5
9 136 1
9 137 8
9 139 4
9 140 3
9 141 1
9 142 6
9 144 9
9 145 4
9 146 7
9 147 3
9 148 3
9 149 7
10 0 5
10 1 8
10 2 3
10 3 1
10 4 7
10 7 6
10 9 2
10 13 2
10 15 2
10 16 1
10 17 1
10 19 3
10 21 2
10 22 3
10 24 7
10 25 5
10 26 3
10 28 7
10 29 9
10 30 9
10 31 6
10 32 8
10 34 3
10 35 7
10 36 6
10 38 7
10 39 1
10 41 7
10 42 7
10 43 3
10 44 7
10 45 6
10 47 6
10 48 3
10 49 4
10 52 2
10 55 3
10 56 9
10 57 7
10 58 7
10 59 4
10 60 1
10 61 3
10 63 8
10 64 8
10 65 7
10 68 6
10 70 9
10 71 1
10 72 2
10 73 4
10 74 8
10 75 9
10 76 6
10 77 3
10 78 7
10 79 2
10 80 2
10 81 7
10 82 4
10 83 4
10 85 3
10 87 7
10 88 4
10 89 4
10 90 8
10 92 8
10 93 5
10 94 3
10 95 2
10 96 7
10 97 2
10 98 2
10 100 9
10 101 7
10 102 1
10 103 5
10 104 1
10 105 8
10 107 8
10 108 5
10 109 2
10 110 3
10 111 5
10 115 2
10 116 4
10 120 2
10 121 3
10 122 1
10 125 2
10 126 6
10 127 9
10 128 2
10 129 3
10 130 6
10 131 2
10 132 9
10 134 1
10 135 2
10 136 6
10 137 7
10 138 4
10 139 5
10 140 6
10 141 8
10 142 2
10 143 2
10 145 7
10 147 1
10 148 2
10 149 2
11 0 7
11 1 8
11 2 1
11 4 5
11 6 9
11 8 7
11 9 3
11 10 9
11 12 4
11 13 4
11 14 2
11 15 4
11 16 8
11 17 9
11 18 1
11 19 7
11 22 5
11 23 1
11 24 7
11 28 9
11 29 5
11 30 2
11 31 5
11 33 3
11 34 2
11 35 6
11 36 4
11 37 9
11 38 7
11 39 9
11 40 7
11 41 8
11 42 9
11 43 5
11 44 6
11 45 8
11 46 9
11 47 9
11 50 7
11 52 1
11 53 4
11 54 6
11 55 4
11 57 9
11 58 2
11 59 4
11 60 2
11 61 5
11 62 9
11 63 5
11 64 2
11 65 7
11 67 2
11 68 3
11 69 5
11 71 3
11 74 3
11 75 6
11 76 1
11 77 9
11 78 7
11 80 2
11 81 1
11 82 6
11 83 1
11 84 9
11 85 5
11 86 4
11 87 6
11 88 4
11 89 1
11 91 8
11 92 2
11 93 1
11 94 4
11 97 8
11 98 2
11 99 7
11 100 1
11 101 3
11 102 4
11 103 7
11 107 4
11 109 7
11 110 4
11 111 8
11 112 8
11 113 6
11 114 8
11 116 6
11 118 8
11 119 9
11 121 7
11 122 6
11 123 2
11 126 8
11 127 2
11 128 5
11 130 2
11 131 5
11 132 2
11 135 9
11 136 8
11 137 4
11 139 2
11 141 6
11 144 9
11 145 3
11 146 5
11 149 4
12 0 8
12 1 6
12 3 2
12 4 5
12 6 3
12 7 1
12 9 8
12 10 5
12 13 1
12 14 5
12 15 1
12 16 4
12 17 8
12 18 8
12 19 4
12 20 6
12 21 6
12 22 6
12 23 1
12 25 2
12 26 1
12 27 5
12 28 6
12 29 6
12 30 8
12 32 7
12 33 9
12 34 7
12 35 5
12 36 7
12 37 3
12 38 5
12 39 1
12 40 7
12 41 5
12 42 2
12 43 8
12 44 2
12 45 2
12 46 8
12 47 9
12 48 8
12 49 1
12 50 2
12 51 4
12 52 4
12 53 9
12 54 6
12 56 9
12 57 3
12 58 5
12 59 3
12 60 5
12 61 1
12 63 5
12 64 6
12 65 2
12 67 9
12 68 9
12 69 9
12 70 6
12 71 6
12 72 5
12 73 2
12 74 9
12 75 3
12 76 8
12 78 6
12 79 4
12 80 2
12 81 3
12 82 6
12 83 1
12 84 5
12 85 9
12 86 6
12 88 6
12 89 1
12 90 3
12 91 5
12 92 8
12 95 7
12 96 3
12 97 3
12 100 8
12 102 1
12 103 3
12 105 5
12 106 6
12 107 8
12 108 2
12 109 7
12 110 7
12 111 6
12 113 4
12 115 6
12 116 3
12 117 8
12 118 3
12 119 4
12 120 8
12 121 8
12 122 8
12 124 5
12 125 4
12 126 6
12 129 8
12 131 6
12 134 9
12 136 4
12 138 4
12 139 4
12 140 9
12 142 5
12 143 2
12 144 2
12 146 5
12 147 9
12 149 4
13 0 3
13 1 5
13 2 1
13 4 4
13 5 1
13 6 3
13 7 2
13 8 1
13 11 9
13 12 7
13 14 9
13 15 7
13 16 2
13 17 2
13 19 4
13 20 8
13 21 6
13 23 8
13 25 3
13 26 7
13 28 7
13 29 4
13 30 8
13 31 5
13 33 9
13 34 2
13 35 1
13 36 9
13 39 5
13 40 7
13 41 7
13 42 4
13 43 2
13 44 9
13 45 4
13 46 7
13 47 1
13 48 9
13 50 1
13 51 1
13 53 7
13 54 5
13 58 4
13 59 6
13 60 7
13 61 2
13 62 4
13 63 3
13 64 2
13 65 2
13 66 7
13 68 7
13 70 8
13 71 9
13 73 8
13 74 7
13 75 5
13 76 2
13 77 4
13 78 7
13 79 1
13 81 4
13 82 5
13 83 1
13 84 1
13 85 9
13 86 1
13 89 1
13 90 1
13 91 9
13 92 2
13 93 1
13 94 8
13 95 6
13 96 5
13 97 9
13 98 2
13 100 7
13 104 9
13 105 4
13 106 8
13 107 2
13 108 8
13 109 6
13 111 1
13 112 2
13 114 6
13 118 8
13 119 8
13 121 1
13 122 2
13 123 9
13 125 7
13 126 1
13 127 8
13 129 7
13 130 9
13 131 8
13 133 5
13 134 6
13 136 5
13 137 7
13 138 2
13 139 8
13 140 8
13 141 2
13 142 3
13 144 2
13 145 7
13 148 4
13 149 3
14 0 2
14 2 6
14 3 8
14 5 3
14 6 8
14 7 6
14 8 8
14 9 9
14 10 4
14 11 5
14 12 3
14 13 9
14 15 7
14 17 5
14 18 7
14 19 9
14 20 5
14 21 9
14 22 3
14 23 7
14 25 3
14 27 3
14 28 3
14 29 3
14 30 8
14 31 8
14 33 7
14 34 5
14 35 5
14 37 2
14 38 4
14 40 3
14 42 8
14 43 5
14 44 2
14 45 9
14 46 1
14 48 1
14 49 8
14 50 2
14 52 9
14 54 5
14 57 8
14 59 8
14 60 8
14 61 7
14 62 9
14 63 7
14 64 8
14 66 3
14 67 3
14 68 3
14 69 6
14 70 4
14 72 7
14 73 6
14 74 4
14 75 9
14 76 6
14 77 8
14 78 3
14 80 9
14 81 5
14 82 2
14 85 6
14 88 3
14 93 1
14 94 5
14 95 7
14 96 4
14 98 6
14 100 4
14 101 7
14 103 7
14 104 5
14 106 3
14 107 3
14 108 4
14 109 6
14 110 5
14 112 4
14 113 9
14 114 3
14 115 5
14 116 8
14 117 3
14 118 2
14 119 3
14 120 8
14 122 2
14 123 6
14 124 4
14 126 1
14 127 9
14 129 6
14 130 4
14 134 5
14 135 9
14 136 5
14 137 3
14 138 3
14 139 2
14 140 2
14 141 5
14 142 6
14 144 9
14 145 3
14 147 6
14 148 2
14 149 3
15 1 1
15 2 1
15 3 2
15 4 8
15 5 6
15 6 5
15 10 2
15 12 1
15 13 5
15 14 4
15 16 6
15 17 4
15 18 7
15 19 9
15 20 8
15 21 4
15 22 7
15 23 8
15 24 7
15 27 7
15 29 4
15 30 4
15 31 7
15 32 4
15 33 8
15 34 2
15 35 5
15 36 9
15 39 9
15 41 8
15 42 5
15 44 8
15 46 4
15 48 8
15 53 7
15 54 2
15 55 7
15 56 2
15 57 7
15 58 1
15 59 5
15 61 6
15 62 6
15 63 1
15 64 6
15 65 6
15 66 7
15 67 8
15 70 6
15 71 3
15 72 9
15 73 7
15 74 8
15 75 8
15 76 7
15 77 3
15 78 4
15 79 4
15 80 3
15 81 2
15 85 4
15 87 4
15 88 9
15 89 2
15 90 8
15 92 5
15 95 5
15 96 3
15 97 3
15 98 1
15 99 8
15 100 5
15 101 1
15 102 1
15 103 3
15 104 9
15 107 5
15 108 3
15 109 1
15 110 3
15 112 5
15 113 7
15 116 3
15 117 3
15 118 3
15 119 5
15 120 1
15 121 1
15 122 4
15 124 6
15 126 1
15 127 2
15 128 4
15 130 9
15 131 5
15 132 9
15 134 3
15 135 3
15 136 4
15 137 6
15 138 4
15 139 7
15 140 7
15 141 9
15 142 5
15 143 8
15 146 9
15 147 4
15 148 5
15 149 6
16 0 2
16 1 1
16 3 7
16 4 3
16 5 8
16 6 4
16 7 6
16 8 6
16 9 7
16 10 9
16 11 9
16 13 1
16 15 8
16 20 1
16 21 4
16 22 3
16 24 3
16 25 7
16 26 9
16 29 4
16 31 2
16 33 8
16 34 6
16 36 9
16 37 1
16 38 9
16 39 4
16 40 9
16 42 1
16 43 7
16 44 4
16 45 3
16 46 6
16 47 3
16 48 7
16 50 5
16 51 5
16 52 7
16 53 4
16 58 2
16 59 2
16 60 1
16 61 5
16 63 7
16 65 7
16 66 3
16 67 5
16 68 4
16 70 2
16 71 6
16 72 5
16 73 5
16 74 2
16 75 6
16 76 9
16 78 8
16 79 9
16 80 6
16 81 8
16 82 6
16 83 7
16 84 1
16 86 1
16 87 6
16 89 8
16 90 3
16 91 4
16 92 5
16 93 6
16 94 8
16 95 7
16 96 7
16 97 2
16 98 2
16 99 9
16 100 4
16 103 1
16 105 6
16 106 2
16 107 7
16 108 6
16 109 1
16 110 3
16 111 3
16 112 7
16 115 7
16 116 5
16 117 9
16 118 9
16 119 7
16 120 6
16 122 2
16 123 8
16 124 3
16 125 7
16 126 9
16 127 2
16 129 6
16 130 3
16 132 6
16 134 1
16 135 1
16 137 1
16 138 6
16 139 7
16 140 6
16 141 7
16 142 9
16 144 3
16 146 1
16 147 8
16 148 2
16 149 1
17 0 1
17 1 7
17 3 3
17 4 8
17 7 9
17 8 9
17 9 1
17 11 5
17 12 5
17 13 4
17 14 8
17 15 5
17 16 6
17 18 2
17 19 5
17 20 8
17 21 5
17 22 5
17 24 1
17 25 5
17 26 8
17 27 2
17 28 9
17 31 2
17 33 9
17 34 5
17 35 9
17 36 6
17 37 1
17 38 4
17 39 9
17 40 7
17 41 4
17 42 4
17 44 6
17 45 2
17 46 7
17 47 4
17 48 3
17 49 6
17 50 7
17 52 7
17 53 7
17 54 9
17 55 7
17 56 1
17 57 1
17 60 7
17 61 5
17 62 6
17 63 6
17 64 1
17 65 8
17 67 7
17 68 7
17 69 7
17 70 4
17 71 3
17 72 9
17 74 4
17 75 5
17 76 3
17 77 5
17 78 1
17 80 8
17 81 4
17 82 5
17 83 2
17 84 8
17 85 6
17 86 4
17 87 8
17 88 5
17 89 6
17 91 2
17 92 4
17 95 6
17 96 7
17 98 4
17 99 3
17 101 9
17 102 9
17 104 5
17 105 6
17 109 6
17 110 2
17 113 8
17 114 2
17 115 9
17 116 3
17 117 7
17 118 6
17 119 8
17 121 8
17 122 5
17 124 3
17 125 6
17 126 4
17 127 7
17 128 5
17 129 1
17 131 1
17 132 2
17 133 6
17 134 8
17 137 1
17 139 1
17 140 3
17 142 6
17 143 7
17 144 7
17 145 6
17 146 3
17 147 3
17 149 2
18 0 2
18 1 8
18 3 1
18 4 1
18 5 6
18 6 1
18 9 3
18 10 8
18 13 4
18 14 4
18 15 9
18 16 4
18 17 2
18 19 8
18 20 8
18 21 1
18 23 5
18 24 8
18 25 7
18 26 7
18 28 9
18 29 2
18 30 5
18 31 6
18 33 2
18 34 5
18 35 6
18 36 3
18 37 8
18 38 4
18 39 9
18 40 6
18 42 7
18 43 7
18 45 3
18 46 1
18 47 8
18 49 9
18 52 7
18 53 4
18 54 1
18 55 8
18 56 6
18 57 3
18 58 2
18 59 7
18 60 2
18 61 9
18 63 4
18 64 8
18 65 6
18 66 3
18 68 8
18 69 7
18 70 3
18 71 5
18 72 6
18 75 5
18 76 1
18 77 8
18 78 3
18 79 5
18 80 5
18 81 1
18 82 5
18 83 6
18 84 3
18 88 3
18 89 5
18 90 6
18 92 5
18 93 8
18 94 3
18 96 7
18 97 5
18 100 1
18 101 2
18 102 9
18 103 5
18 104 1
18 105 2
18 106 9
18 110 5
18 111 7
18 112 2
18 114 2
18 115 4
18 117 1
18 119 9
18 120 2
18 121 6
18 122 5
18 123 4
18 124 3
18 125 8
18 127 5
18 128 1
18 131 3
18 132 6
18 134 8
18 135 3
18 136 8
18 137 4
18 138 6
18 139 2
18 140 7
18 142 9
18 143 1
18 144 7
18 145 1
18 147 5
18 148 9
18 149 5
19 1 5
19 2 6
19 3 1
19 4 1
19 6 4
19 9 2
19 10 1
19 12 7
19 13 7
19 14 7
19 15 5
19 18 7
19 20 1
19 22 9
19 23 2
19 24 1
19 25 8
19 26 9
19 28 5
19 29 8
19 32 6
19 33 1
19 34 5
19 36 4
19 37 9
19 38 2
19 39 2
19 40 7
19 41 4
19 42 4
19 44 3
19 47 5
19 48 4
19 49 4
19 50 2
19 53 4
19 54 1
19 55 7
19 56 9
19 58 2
19 59 6
19 60 2
19 61 4
19 62 2
19 64 8
19 65 4
19 66 8
19 67 7
19 68 2
19 71 4
19 72 7
19 73 3
19 74 3
19 76 5
19 78 8
19 80 4
19 81 5
19 83 8
19 84 5
19 85 4
19 86 4
19 88 7
19 89 8
19 91 5
19 92 8
19 93 3
19 94 3
19 96 1
19 97 3
19 98 2
19 99 3
19 101 5
19 102 3
19 103 6
19 104 6
19 105 9
19 106 2
19 107 9
19 108 6
19 110 9
19 111 8
19 113 5
19 114 3
19 115 2
19 117 2
19 118 6
19 119 3
19 120 3
19 121 2
19 122 6
19 123 3
19 124 3
19 126 6
19 129 4
19 130 2
19 131 2
19 133 1
19 134 3
19 135 6
19 138 3
19 139 7
19 140 4
19 142 5
19 144 5
19 145 6
19 146 5
19 147 6
19 148 6
19 149 5
20 1 6
20 2 9
20 4 2
20 5 2
20 6 4
20 7 4
20 8 6
20 9 7
20 11 1
20 12 1
20 13 8
20 14 2
20 15 5
20 16 7
20 17 1
20 18 5
20 22 6
20 24 5
20 27 1
20 29 2
20 30 4
20 31 5
20 32 3
20 33 3
20 34 8
20 35 9
20 36 8
20 37 4
20 38 4
20 40 2
20 44 6
20 45 7
20 47 1
20 50 3
20 51 7
20 52 5
20 54 4
20 55 2
20 56 6
20 57 8
20 58 8
20 59 3
20 60 3
20 62 3
20 63 1
20 66 8
20 67 1
20 69 2
20 70 6
20 71 2
20 72 6
20 73 1
20 74 3
20 79 7
20 80 3
20 81 3
20 82 4
20 84 7
20 85 5
20 86 2
20 87 2
20 89 5
20 90 4
20 91 1
20 92 4
20 93 4
20 94 7
20 95 2
20 96 7
20 97 1
20 98 6
20 99 7
20 100 6
20 101 9
20 102 4
20 104 7
